module_code,module_name,Old ID,question_code,sort,subject_id,module_code,reason,kind,content,REFERENCE,response_1,target_1,response_2,target_2,response_3,target_3,return_node,target_module,return,decision_node,meets_response,boolean,conclusion_1,conclusion_2,examples,asc,faq,help,report_summary,summary,report_content,response_fatal,target_fatal
10,equity_linked_contracts,1,10-1,1,1,10,,i,There are numerous areas in the Codification that cover the accounting for equity-linked transactions. These include| among others| ASC 718| ASC 505-15 and ASC 815. As a result| a significant part of this module is devoted to determining the appropriate accounting scope for the contract. Additionally| the ultimate accounting recommendation may depend upon certain elections available to the company| including the fair value option for financial instruments| the fair value option for hybrid financial instruments| and the potential availability of hedge accounting for a derivative. This module travels methodically through the accounting guidance to help you get to the right answer. You may refer to the Help| FAQ and Example content associated with each node for additional information to help you answer each question. If you become stuck on a question| please create a new Issue and reference the specific Node ID. We of course can|t anticiapte every possible  situation when we write the content for each node; however| we will add content to address your situation| and likely someone else's| when appropriate.,,Continue,10-2,,,,,,,,,,,,,,,,,,There are numerous areas in the Codification that cover the accounting for equity-linked transactions. These include| among others| ASC 718| ASC 505-15 and ASC 815. As a result| a significant part of this module is devoted to determining the appropriate accounting scope for the contract. Additionally| the ultimate accounting recommendation may depend upon certain elections available to the company| including the fair value option for financial instruments| the fair value option for hybrid financial instruments| and the potential availability of hedge accounting for a derivative. This module travels methodically through the accounting guidance to help you get to the right answer. You may refer to the Help| FAQ and Example content associated with each node for additional information to help you answer each question. If you become stuck on a question| please create a new Issue and reference the specific Node ID. We of course can|t anticiapte every possible  situation when we write the content for each node; however| we will add content to address your situation| and likely someone else's| when appropriate.,There are numerous areas in the Codification that cover the accounting for equity-linked transactions. These include| among others| ASC 718| ASC 505-15 and ASC 815. As a result| a significant part of this module is devoted to determining the appropriate accounting scope for the contract. Additionally| the ultimate accounting recommendation may depend upon certain elections available to the company| including the fair value option for financial instruments| the fair value option for hybrid financial instruments| and the potential availability of hedge accounting for a derivative. This module travels methodically through the accounting guidance to help you get to the right answer. You may refer to the Help| FAQ and Example content associated with each node for additional information to help you answer each question. If you become stuck on a question| please create a new Issue and reference the specific Node ID. We of course can|t anticiapte every possible  situation when we write the content for each node; however| we will add content to address your situation| and likely someone else's| when appropriate.,,
10,equity_linked_contracts,2,10-2,2,1,10,,q,Are you analyzing the entire instrument (or two or more agreements as though they are a single instrument)| or are you analyzing a feature or provision embedded within an agreement?,,Entire Agreement,10-3,Feature,11-3,,,,11,,,,,,,,The ASC Master Glossery defines a freestanding instrument as| "A financial instrument that meets either of the following conditions: a) It is entered into separately and apart from any of the entity's other financial instruments or equity transactions; b) It is entered into in conjunction with some other transaction and is legally detachable and separately exercisable."\n\nCertain sections of the ASC modify this general definition of a freestanding instrument by providing more descriptive language of the specific instruments or the specific terms of instruments that are within the scope of a particular section. For example| ASC 480| Liabilities - Distinguishing Liabilities from Equity states that its guidance applies to any freestanding instrument| including instruments that have "...any of the following attributes: a) comprises more than one option or forward contract; b) Has characteristics of both a liability and equity and| in some circumstances| also has characteristics of an asset." This kind of language does not redefine the meaning of freestanding instrument| but it does expand or narrow the scope of the freestanding instrument as it applies to a particular ASC section or subsection.\n\nSections of the ASC referenced within this analysis tool that| and any scope modifications that vary from the general definition of |freestanding instrument| will be highlighted and analyzed where each section is cited.,1) Can an embedded feature be in a separate contract?\n\nYes. If the separate contract is referenced to and is dependent on another agreement or instrument| and has no substantive or economic value without the existence of the other contract that it references| then the separate contract is in fact merely a provision of the other contract. It could just as easily have been included in the other contract as a provision with no change in the substance of its terms.\n\n2) Can two freestanding instruments exist within a single contract?\n\nYes. This is effectively the opposite of question 1) above. If contractual terms within a single agreement can survive each other's termination or expiration| then the contractual terms could have been written as two separate freestanding agreements. The fact that they are included in a single agreement is immaterial. For accounting purposes| the contractual terms should therefore be analyzed as though they were two separate agreements.,The issue of whether you have a freestanding instrument or an embedded feature is one of scope.  Specifically| freestanding instruments are potentially subject to accounting standards that are not applicable to embedded features. For example| ASC 480| Liabilities - Distinguishing Liabilities from Equity| applies only to freestanding instruments. Therefore a threshold requirement to further analysis is making this determination.\n\nPerhaps the easiest way to make this determination is to look at the nature of an embedded feature.  An embedded feature is not something that can be sold or traded separately from the host contract...that is| the contract in which the rights and/or obligations of the feature are embedded. For example| a conversion option in a debt instrument does not have a separate existence without the debt instrument. If the debt instrument ceases to exist through repayment or expiration| the conversion option also ceases to exist. Also| contractually| a convertible debt agreement does not typically contemplate separation of the conversion option from the contract. This would require| instead| a new agreement between one party to the convertible debt agreement and a third party.\n\nThe ASC Master Glossery does not provide a definition of an |embedded feature|| yet the term is used liberally in certain sections of the ASC. As a practical matter| an |embedded feature| is a contractual element of a freestanding instrument. An |embedded feature|| unlike a freestanding instrument| has no substantive existence without the freestanding instrument's existence. So| even though an embedded feature can be entered into as a separate contractual agreement| it is not entered into separately and and apart from any other instrument; rather| it will specifically reference the instrument to which it is contractually attached. So ask yourself this question| "Does this agreement or contractual provision have the ability to stand on its own as if the host contract or any other agreement does not exist?" If the answer is |no|| you have an embedded feature for accounting purposes.\n\nA freestanding instrument is just that| an instrument that stands on its own| that exists based on its own terms independent of the existence of some other instrument or agreement. So| look at the terms of you instrument and evaluate its terms. Does its terms provide for its existence regardless of any other instrument or agreement? If no| then your instrument is probably not freestanding and should be evaluated as a unit with the other instrument(s) or agreement(s) on which its existence is dependent. Going back to the conversion option above| it is not uncommon for a conversion option to be written as a separate agreement from the debt agreement. This can happen at inception of the debt agreement or at some point thereafter. Regardless| the conversion option| even though in a separate agreement| is in substance an embedded feature since its existence is dependent upon the existence of the debt agreement. Therefore| the debt agreement and the conversion option agreement should be combined and evaluated together as a freestanding agreement.\n\nDepending upon the accounting result determined for the combined instruments as a unit| you may still need to subsequently evaluate an embedded feature separately. But| this would only come after first evaluating the freestanding instrument. For example| if the freestanding instrument is determined to be a derivative reported at fair value| then there is no need to separately report the embedded feature. This analysis tool will tell you whether or not you need to evaluate embedded features based upon the analysis of the freestanding instrument. Evaluation of an equity-linked transaction is first performed to the freestanding instrument and then| and only under certain circumstances| must you then subsequently evaluate the freestanding instrument's embedded features.,Freestanding instruments and embedded features are often subject to the same accounting standards; however| the accounting result can be significantly different.,Freestanding instruments and embedded features are often subject to the same accounting standards.  However| the accounting result can be significantly different.  Your response to this question determines whether the analysis follows the path applicable to a freestanding instrument or the path applicable to an embedded feature.  This determination is not always obvious. Click ||Help|| for more information.,Are you analyzing the entire instrument (or two or more agreements as though they are a single instrument)| or are you analyzing a feature or provision embedded within an agreement?,,
10,equity_linked_contracts,3,10-3,3,1,10,,q,Do you want to analyze the contract only with respect to derivative accounting guidance under ASC 815?,,Yes,10-12,No,10-4,,,,,,,,,,,,,,,,<p>Some users are very familiar with the accounting tratment of equity-linked contracts and want to focus exclusively on the applicability of derivative accounting under ASC 815-40. If you select |Yes| and opt out of a more detailed analysis of the other accounting guidance that may apply to the contract| the following language will appear in the final report:</p><p><strong>The company has evaluated the terms of the contract relative to the scope exceptions for an instrument linked to the company's own equity and has determined that the contract does not meet any of the scope exceptions set forth in paragraphs 815-40-15-2 and 815-40-15-3. The evaluation that follows will focus exclusively on the applicibility accounting guidance of ASC Subtopic 815-40--Contracts in Entity's Own Equity.</bold></p>,Do you want to analyze the contract only with respect to derivative accounting guidance under ASC 815?,,
10,equity_linked_contracts,4,10-4,4,1,10,Leases,q,Is this a lease agreement?,,Yes,10-18,No,10-5,,,,,,,,,,,,,,Leases are subject to specific accounting rules under ASC 840. This question applies to the lease as a freestanding agreement and should be answered |yes| if you are analyzing a lease. However| you need read the agreement carefully to determine if there is any provision (or set of provisions) that is equity-linked and introduces variability to the lease terms by reference to an observable event| index or other measure| and that is separable from the lease agreement. Such provision should be evaluated as a freestanding instrument separate and apart from the lease agreement. If| on the other hand| the provision (or set of provisions) is not separable| then its should be evaluated as an equity-linked embedded feature.,,It is not uncommon for a lease agreement to contain some form of equity payment to the lessor as part of the lease arrangement. Leases are subject to specific rules which can be evaluated step-by-step by clicking "Analyze". Certain embedded features in the lease may need to be evaluated separately. Any equity-linked embedded features should be evaluated using this ELT analysis tool.,Is this a lease agreement?,,
10,equity_linked_contracts,,10-5,5,1,10,Stock Compensation,q,Was this instrument issued as stock-based compensation?,,Yes,21-3,No,10-6,,,,21,,,,,,,,,,,,,Was this instrument issued as stock-based compensation?,,
10,equity_linked_contracts,54,10-6,6,1,10,ASC 480,q,Does the instrument fall within the scope of ASC 480| Liabilities - Distinguishing Liabilities from Equity?,,Yes,22-7,No,10-7,Analyze,22-1,10-6,22,,,,,,,,,,<p>ALL <u>freestanding instruments</u> are potentially subject to ASC 480. In its scope paragraph subsection (ASC 480-10-15)| ASC 480 states that it applies to all entities and to all freestanding instruments (note that ASC 480 does NOT apply to embedded features). ASC 480 also states that it should be applied to the instrument in its entirety and that any nonsubstantive or minimal features should be ignored. The point is to focus on the substance of the instrument by looking at its primary features. ASC 480 lists the following freestanding instrument as falling within its scope (ASC 480-10-25):</p><ul><li>Mandatorily redeemable financial instruments (e.g.| mandatorily redeemable preferred stock);</li><li>Obligations to repurchase the entity's equity shares by transferring assets (e.g.| written put options and forward purchase contracts);</li><li>Certain obligations to issue  a variable number of shares if| at inception of the instrument| the monetary value of the obligation is based solely or predominantly on any one of the following:</li><ul><li>A fixed monetary amount known at inception (commonly referred to as 'stock settled debt|);</li><li>Variations in something other than the fair value of the issuer's equity stock (the example provided is an instrument indexed to the S&amp;P 500 and that is settled in a variable number of the entity's shares);</li><li>Variations inversely related to changes in the fair value of the entity's equity shares (a written put option being the example given).</li></ul></ul>,<p>Generally| ASC 480 captures financial instruments that are mandatorily redeemable| obligations to repurchase shares of the entity's stock| and certain obligations to issue a variable number of shares. All elements of ASC 480 apply to public companies; however| certain elements have been deferred indefinitely for nonpublic companies.<br/></p>,<p>Generally| ASC 480 captures financial instruments that are mandatorily redeemable| obligations to repurchase shares of the entity's stock| and certain obligations to issue a variable number of shares. All elements of ASC 480 apply to public companies; however| certain elements have been deferred indefinitely for nonpublic companies.</p>,Does the instrument fall within the scope of ASC 480| Liabilities - Distinguishing Liabilities from Equity?,,
10,equity_linked_contracts,55,10-7,7,1,10,Derivative Scope Exceptions,q,Is the contract a registration payments arrangement?,,Yes,15-10,No,10-8,Analyze,15-3,10-7,15,,,,,,,,,,,,,Is the contract a registration payments arrangement?,,
10,equity_linked_contracts,69,10-8,8,1,10,Derivative Scope Exceptions,q,Is the contract for a business combination at a future date?,,Yes,10-22,No,10-9,,,,,,,,,,,,,,,,,Is the contract for a business combination at a future date?,,
10,equity_linked_contracts,70,10-9,9,1,10,Derivative Scope Exceptions,q,Is the contract for an acquisition entered into by a not-for-profit organization?,,Yes,10-23,No,10-10,,,,,,,,,,,,,,,,,Is the contract for an acquisition entered into by a not-for-profit organization?,,
10,equity_linked_contracts,71,10-10,10,1,10,Derivative Scope Exceptions,q,Is the contract for the merger of two or more not-for-profit organizations?,,Yes,10-24,No,10-11,,,,,,,,,,,,,,,,,Is the contract for the merger of two or more not-for-profit organizations?,,
